date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:53	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:53%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:53	203533/203533	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/jack-catterall-6268-unsplash-1200x800.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/jack-catterall-6268-unsplash-1200x800.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:53	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:53%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:54	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:54%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:54	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:54%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:55	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Nov%202023%2009:32:55%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/index.html	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/index-2.html	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:55	95935/95935	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/jquery/jquery.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/jquery/jquery.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:55	18998/18998	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/popper/popper.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/popper/popper.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:56	23217/23217	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/tether/tether.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/tether/tether.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:56	48950/48950	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/bootstrap/js/bootstrap.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
